"",Location,Patron Type,Item Type,Age Range,Rule Number,Active,Editable By
129,"bmej ","1-3,5,6,10,13,17-21",9,,2,Y,ADMIN
130,"bmej ","34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9,,65,Y,ADMIN
131,bbfej,"1-5,10,13,17-21",9999,,7,Y,ADMIN
132,bbfej,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,67,Y,ADMIN
133,bnfej,"1-5,10,13,17-21",9999,,7,Y,ALL
134,bnfej,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,67,Y,ALL
135,befej,"1-5,10,13,17-21",9999,,7,Y,ALL
136,befej,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,67,Y,ALL
137,bgfej,"1-5,10,13,17-21",9999,,7,Y,ALL
138,bgfej,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,67,Y,ALL
139,bmfej,"1-5,10,13,17-21",9999,,7,Y,ALL
140,bmfej,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,67,Y,ALL
141,beffa,"1-3,5,10,13,17-21",9999,,6,Y,ALL
142,beffa,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,66,Y,ALL
143,bgffa,"1-3,5,10,13,17-21",9999,,6,Y,ALL
144,bgffa,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,66,Y,ALL
145,bmffa,"1-3,5,10,13,17-21",9999,,6,Y,ALL
146,bmffa,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,66,Y,ALL
147,befla,"1-3,5,10,13,17-21",9999,,6,Y,ALL
148,befla,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,66,Y,ALL
149,bgfla,"1-3,5,10,13,17-21",9999,,6,Y,ALL
150,bgfla,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,66,Y,ALL
151,bmfla,"1-3,5,10,13,17-21",9999,,6,Y,ALL
152,bmfla,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,66,Y,ALL
153,bbfma,"1-3,5,10,13,17-21",9999,,6,Y,ADMIN
154,bbfma,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,66,Y,ADMIN
155,befma,"1-3,5,10,13,17-21",9999,,6,Y,ALL
156,befma,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,66,Y,ALL
157,bgfma,"1-3,5,10,13,17-21",9999,,6,Y,ALL
158,bgfma,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,66,Y,ALL
159,bnfma,"1-3,5,10,13,17-21",9999,,6,Y,ALL
160,bnfma,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,66,Y,ALL
161,bmfma,"1-3,5,10,13,17-21",9999,,6,Y,ALL
162,bmfma,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,66,Y,ALL
163,bbfmx,"1-3,5,10,13,17-21",9999,,6,Y,ADMIN
164,bbfmx,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,66,Y,ADMIN
165,bmfmx,"1-3,5,10,13,17-21",9999,,6,Y,ALL
166,bmfmx,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,66,Y,ALL
167,bnfmx,"1-3,5,10,13,17-21",9999,,6,Y,ADMIN
168,bnfmx,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,66,Y,ADMIN
169,bbfpj,"1-5,10,13,17-21",9999,,7,Y,ADMIN
170,bbfpj,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,67,Y,ADMIN
171,bnfpj,"1-5,10,13,17-21",9999,,7,Y,ALL
172,bnfpj,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,67,Y,ALL
173,befpj,"1-5,10,13,17-21",9999,,7,Y,ALL
174,befpj,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,67,Y,ALL
175,befbj,"1-5,10,13,17-21",9999,,7,Y,ALL
176,befbj,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,67,Y,ALL
177,bepxj,"1-5,10,13,17-21",9999,,7,Y,ALL
178,bepxj,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,67,Y,ALL
179,bgfpj,"1-5,10,13,17-21",9999,,7,Y,ALL
180,bgfpj,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,67,Y,ALL
181,bgpxj,"1-5,10,13,17-21",9999,,7,Y,ALL
182,bgpxj,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,67,Y,ALL
183,bgfbj,"1-5,10,13,17-21",9999,,7,Y,ALL
184,bgfbj,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,67,Y,ALL
185,bmfpj,"1-5,10,13,17-21",9999,,7,Y,ALL
186,bmfpj,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,67,Y,ALL
187,bmfbj,"1-5,10,13,17-21",9999,,7,Y,ALL
188,bmfbj,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,67,Y,ALL
189,bbpxj,"1-5,10,13,17-21",9999,,7,Y,ADMIN
190,bbpxj,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,67,Y,ADMIN
191,bmpxj,"1-5,10,13,17-21",9999,,7,Y,ALL
192,bmpxj,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,67,Y,ALL
193,bnpxj,"1-5,10,13,17-21",9999,,7,Y,ADMIN
194,bnpxj,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,67,Y,ADMIN
195,bbfxj,"1-5,10,13,17-21",9999,,7,Y,ADMIN
196,bbfxj,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,67,Y,ADMIN
197,befxj,"1-5,10,13,17-21",9999,,7,Y,ALL
198,befxj,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,67,Y,ALL
199,bgfxj,"1-5,10,13,17-21",9999,,7,Y,ALL
200,bgfxj,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,67,Y,ALL
201,bmfxj,"1-5,10,13,17-21",9999,,7,Y,ALL
202,bmfxj,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,67,Y,ALL
203,bnfxj,"1-5,10,13,17-21",9999,,7,Y,ADMIN
204,bnfxj,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,67,Y,ADMIN
205,bbfsa,"1-3,5,10,13,17-21",9999,,6,Y,ADMIN
206,bbfsa,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,66,Y,ADMIN
207,befsa,"1-3,5,10,13,17-21",9999,,6,Y,ALL
208,befsa,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,66,Y,ALL
209,bgfsa,"1-3,5,10,13,17-21",9999,,6,Y,ALL
210,bgfsa,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,66,Y,ALL
211,bnfsa,"1-3,5,10,13,17-21",9999,,6,Y,ALL
212,bnfsa,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,66,Y,ALL
213,bmfsa,"1-3,5,10,13,17-21",9999,,6,Y,ALL
214,bmfsa,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,66,Y,ALL
215,bbfsx,"1-3,5,10,13,17-21",9999,,6,Y,ADMIN
216,bbfsx,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,66,Y,ADMIN
217,bmfsx,"1-3,5,10,13,17-21",9999,,6,Y,ALL
218,bmfsx,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,66,Y,ALL
219,bnfsx,"1-3,5,10,13,17-21",9999,,6,Y,ADMIN
220,bnfsx,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,66,Y,ADMIN
221,belfa,"1-3,5,10,13,17-21",9999,,6,Y,ALL
222,belfa,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,66,Y,ALL
223,bglfa,"1-3,5,10,13,17-21",9999,,6,Y,ALL
224,bglfa,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,66,Y,ALL
225,bnlfj,"1-5,10,13,17-21",9999,,7,Y,ALL
226,bnlfj,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,67,Y,ALL
227,belfj,"1-2,4,5,10,13,17,19-21",9999,,7,Y,ALL
