"",Name,Code,Normal Loan Period,Holdable,Bookable,Home Pickup,Shippable,Ship Time,Time Remaining B4 Renew,First Renewal Period,Additional Renewal Period,Max Number Of Renewals,Max Number Of Auto Renewals,Minimum Use,Eligib To Recall,Time Return Recall,Time To Pickup,Max Number Of Odues,Time First Odue,Time Second Odue,Time Third Odue,Time Fourth Odue,Time Fifth Odue,Time Sixth Odue,Text First Odue,Text Second Odue,Text Third Odue,Text Fourth Odue,Text Fifth Odue,Odue Penalty,Text First OdueR,Text Second OdueR,Text Third OdueR,Text Fourth OdueR,Text Fifth OdueR,Courtesy Notice Text Number,Number Of Days Before Odue,Additional Courtesy Notice,Additional Courtesy Notice Text,Time 1ST Odue Recall,Text Recall Notice,Text Pickup Notice,Text Cancel Pickup,Grace Period For Fines,Number Of D/HR 1st F Per,Amount Of Fine 1st F Per,Number Of D/HR 2nd F Per,Amount Of Fine 2ND F Per,Limit Fine To Price,Default Item Cost,Replace Process Fee,Replace Bll Service Charge,Rental Fee,Fine Incr If Recall,Msg Fines,Msg Bill,Msg Adjustment,Rental Circtext,Penalty Incr If Recall,Editable By
69,lsv/bpl 21 days,R,21,y,n,n,y,3,21,21,21,2,2,21,999,0,7,3,7,7,16,0,0,0,11,12,13,0,0,0,0,0,0,0,0,40,3,0,0,0,0,41,0,0,0,$0.00,0,$0.00,n,$20.00,$6.00,$0.00,$0.00,$0.00,20,13,15,0,0,ALL
70,mde/bpl video 7 days,R,7,y,n,n,y,3,7,7,7,2,2,7,999,0,7,4,7,7,7,9,0,0,21,22,46,0,0,0,0,0,0,0,0,42,3,0,0,0,0,45,0,0,10,$0.00,0,$0.00,n,$50.00,$5.00,$0.00,$0.00,$0.00,30,23,25,0,0,ALL
71,mde/bpl 7 days,R,7,y,n,n,y,3,6,7,7,2,2,7,999,0,7,4,7,7,7,9,0,0,21,22,46,0,0,0,0,0,0,0,0,42,3,0,0,0,0,45,9,0,100,$0.00,0,$0.00,n,$50.00,$5.00,$0.00,$0.00,$0.00,30,23,25,0,0,ALL
72,md juv 21 d,R,21,y,n,n,n,0,20,21,21,2,2,21,999,0,7,4,7,7,7,0,0,0,21,22,46,0,0,0,0,0,0,0,0,42,3,0,0,0,0,45,0,0,100,$0.00,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,30,0,25,0,0,ALL
73,mde/bpl 14 days,R,14,y,n,n,y,3,13,14,14,2,2,14,999,0,7,4,7,7,7,9,0,0,21,22,46,0,0,0,0,0,0,0,0,42,3,0,0,0,0,45,0,0,100,$0.00,0,$0.00,n,$50.00,$5.00,$0.00,$0.00,$0.00,30,23,25,0,0,ALL
74,mde/bpl dvd 7 days,R,7,y,n,n,y,3,7,7,7,2,2,7,999,0,7,3,10,11,70,0,0,0,21,22,0,0,0,0,0,0,0,0,0,42,3,0,0,0,0,45,0,0,10,$0.00,0,$0.00,n,$25.00,$5.00,$0.00,$0.00,$0.00,30,23,25,0,0,ALL
75,Prosp/bpl 3 Wk Patr,R,21,y,n,n,y,3,22,21,21,1,1,21,999,0,7,3,7,14,28,0,0,0,31,32,33,0,0,0,0,0,0,0,0,43,3,0,0,0,0,78,35,0,50,$0.10,0,$0.00,n,$35.00,$0.00,$5.00,$0.00,$0.00,0,36,37,0,0,ALL
76,Prosp/bpl 1 Wk Patr,R,7,y,n,n,y,3,0,0,0,0,0,7,999,0,7,3,7,14,28,0,0,0,31,32,33,0,0,0,0,0,0,0,0,43,3,0,0,0,0,78,35,0,50,$0.10,0,$0.00,n,$35.00,$0.00,$5.00,$0.00,$0.00,0,36,37,0,0,ALL
77,bpl vip/gold,R,30,y,n,n,y,3,30,30,30,2,2,30,0,0,7,3,7,7,16,0,0,0,1,2,0,0,0,0,0,0,0,0,0,39,3,0,0,0,0,44,0,1,0,$0.00,0,$0.00,n,$25.00,$5.00,$0.00,$0.00,$0.00,4,3,6,0,0,ALL
78,bpl staff,R,30,y,n,n,n,0,30,30,30,2,2,30,0,0,7,3,7,7,16,0,0,0,1,2,0,0,0,0,0,0,0,0,0,39,3,0,0,0,0,44,0,1,0,$0.00,0,$0.00,n,$25.00,$5.00,$0.00,$0.00,$0.00,4,3,6,0,0,ALL
79,mde bookbag 42 days,R,42,y,n,n,n,0,0,0,0,0,0,42,999,0,7,3,7,7,16,0,0,0,21,22,46,0,0,0,0,0,0,0,0,42,3,0,0,0,0,45,0,0,20,$0.00,0,$0.00,n,$150.00,$5.00,$0.00,$0.00,$0.00,30,23,25,0,0,ALL
80,mde bookbag staff,R,42,y,n,n,n,0,0,0,0,0,0,42,999,0,7,1,7,7,16,0,0,0,11,12,13,0,0,0,0,0,0,0,0,40,3,0,0,0,0,41,0,0,0,$0.00,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,0,ALL
81,bpl bookbag 42 days,R,42,y,n,n,n,0,0,0,0,0,0,42,999,0,7,3,7,7,16,0,0,0,1,2,0,0,0,0,0,0,0,0,0,39,3,0,0,0,0,44,0,1,50,$0.00,0,$0.00,n,$150.00,$5.00,$0.00,$0.00,$0.00,4,3,6,0,0,ALL
82,bpl bookbag staff,R,42,y,n,n,n,0,0,0,0,0,0,42,999,0,7,1,7,7,16,0,0,0,1,2,0,0,0,0,0,0,0,0,0,44,3,0,0,0,0,44,0,0,0,$0.00,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,0,ALL
83,bpl wii games,R,7,n,n,n,n,3,7,0,0,0,0,7,999,0,7,3,7,7,16,0,0,0,1,2,0,0,0,0,0,0,0,0,0,39,3,0,0,0,0,44,0,1,50,$0.00,0,$0.00,n,$25.00,$5.00,$0.00,$0.00,$0.00,4,3,6,0,0,ALL
84,mde Homeschool,R,56,y,n,n,n,0,0,0,0,0,0,56,999,0,7,4,7,7,7,9,0,0,21,22,46,0,0,0,0,0,0,0,0,42,3,0,0,0,0,45,0,0,100,$0.00,0,$0.00,n,$50.00,$5.00,$0.00,$0.00,$0.00,30,23,25,0,0,ALL
85,mde vidg/lckydvd juv,R,7,n,n,n,n,0,0,0,0,0,0,7,999,0,0,4,7,7,7,0,0,0,21,22,46,0,0,0,0,0,0,0,0,42,3,0,0,0,0,45,0,0,0,$0.00,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,30,0,25,0,0,mde
86,mde vidg/lckydvdptrn,R,7,n,n,n,n,0,0,0,0,0,0,7,999,0,0,4,7,7,7,9,0,0,21,22,46,0,0,0,0,0,0,0,0,42,3,0,0,0,0,45,0,0,20,$0.00,0,$0.00,n,$25.00,$5.00,$0.00,$0.00,$0.00,30,23,25,0,0,mde
87,mde,R,21,y,n,y,n,0,20,21,21,2,2,21,999,0,7,4,7,7,7,9,0,0,21,22,46,0,0,0,0,0,0,0,0,42,3,0,0,0,0,45,0,0,0,$0.00,0,$0.00,n,$25.00,$0.00,$0.00,$0.00,$0.00,30,23,25,0,0,mde
88,mde Equipment,R,21,y,n,y,n,0,20,21,21,2,2,21,999,0,7,4,7,7,7,9,0,0,21,22,46,0,0,0,0,0,0,0,0,42,3,0,0,0,0,45,0,0,100,$0.00,0,$0.00,n,$30.00,$5.00,$0.00,$0.00,$0.00,30,23,25,0,0,mde
89,lsv equipment staff,R,21,y,n,y,n,0,21,21,21,2,2,21,999,0,7,4,7,7,16,9,0,0,11,12,13,0,0,0,0,0,0,0,0,40,3,0,0,0,0,41,0,0,0,$0.00,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,0,ADMIN
